gene,age,cell_type,ctrl_n,ko_n,ctrl_avg_lognorm_expr,ko_avg_lognorm_expr,difference_ko_minus_ctrl,ctrl_pct_detected,ko_pct_detected,p_value,p_adj_bh_within_age_gene
Gls,P15,Cones,243,176,1.4309317366487067,0.3180564909336188,-1.112875245715088,93.00411522633745,39.77272727272727,8.134751259033947e-48,6.507801007227157e-47
Gls,P15,Rod,4468,3385,1.0387064016733882,0.9767958904080081,-0.061910511265380164,59.51208594449419,56.543574593796166,0.002444009584423506,0.006517358891796016
Gls,P15,MG,259,234,0.34945367161425805,0.3144965602473444,-0.03495711136691365,46.33204633204633,35.47008547008547,0.09980627589363696,0.15969004142981913
Gls,P15,AC,234,176,0.9756670457387316,0.7130229611632242,-0.2626440845755075,83.76068376068376,59.09090909090909,8.885635778257478e-5,3.5542543113029914e-4
Gls,P15,BC,655,598,1.8145810708329961,1.7596979805972133,-0.05488309023578286,97.70992366412213,95.9866220735786,0.17970716359824665,0.23960955146432886
Gls,P15,HC,162,153,0.7471852025266122,0.6564978042916939,-0.09068739823491834,82.71604938271605,70.58823529411765,0.08851254191523207,0.15969004142981913
Gls,P15,RPE,16,15,0.5601408447806377,0.4384814037799714,-0.12165944100066634,56.25,53.333333333333336,0.6783129981579531,0.6783129981579531
Gls,P15,Vasculature cells,41,35,0.5193590590940771,0.42261827696495546,-0.09674078212912163,60.97560975609756,45.714285714285715,0.31813175703547186,0.3635791508976821
Gls,P35,Cones,244,211,1.7405393157890372,0.20067041177411254,-1.5398689040149247,93.44262295081968,21.32701421800948,1.647461366370172e-63,1.3179690930961375e-62
Gls,P35,Rod,6320,6246,1.230519921574077,1.0820469727786237,-0.14847294879545325,72.65822784810126,66.37848222862632,3.2983165571477724e-21,1.319326622859109e-20
Gls,P35,MG,331,341,0.49143285634236844,0.363708901716034,-0.12772395462633446,53.47432024169184,43.6950146627566,0.005211632675799804,0.013203319279176425
Gls,P35,AC,377,351,1.0128480305648524,0.8755092158752086,-0.13733881468964382,74.27055702917772,67.80626780626781,0.006601659639588212,0.013203319279176425
Gls,P35,BC,749,789,2.272934249719369,2.2676018292284725,-0.005332420490896439,99.06542056074767,98.09885931558935,0.8095187819887956,0.8095187819887956
Gls,P35,HC,110,63,0.9054615993165811,0.7307157458675091,-0.174745853449072,69.0909090909091,73.01587301587301,0.14769817969473445,0.19693090625964593
Gls,P35,RPE,24,27,1.1960185357716646,0.7392645450511415,-0.45675399072052314,87.5,51.85185185185185,0.02887362820057627,0.04619780512092203
Gls,P35,Vasculature cells,24,38,0.8120920015662532,0.632690029998209,-0.17940197156804416,66.66666666666666,65.78947368421053,0.37250071557379433,0.42571510351290776
Gls2,P15,Cones,243,176,0,0,0,0,0,NA,NA
Gls2,P15,Rod,4468,3385,0.0017771129370592945,0.002782229617921925,0.0010051166808626307,0.1566696508504924,0.1772525849335303,0.8225635627684549,0.8755022174558705
Gls2,P15,MG,259,234,0.005797223685858809,0.006116950598222576,3.197269123637672e-4,1.1583011583011582,0.8547008547008548,0.7385378123536055,0.8755022174558705
Gls2,P15,AC,234,176,0.07410194530022841,0.042691692593698184,-0.03141025270653023,11.538461538461538,4.545454545454546,0.014821265337441974,0.07410632668720987
Gls2,P15,BC,655,598,0.013326631975497733,0.012628616437435732,-6.98015538062001e-4,2.1374045801526718,2.0066889632107023,0.8755022174558705,0.8755022174558705
Gls2,P15,HC,162,153,0.038917079468501654,0.03748519228096627,-0.0014318871875353828,9.25925925925926,7.8431372549019605,0.6889712290440728,0.8755022174558705
Gls2,P15,RPE,16,15,0,0,0,0,0,NA,NA
Gls2,P15,Vasculature cells,41,35,0,0,0,0,0,NA,NA
Gls2,P35,Cones,244,211,0,0.006525023926141812,0.006525023926141812,0,0.9478672985781991,0.12867638811185403,0.6556092137669423
Gls2,P35,Rod,6320,6246,0.0018245131367894676,0.0024832773724018853,6.587642356124176e-4,0.15822784810126583,0.24015369836695488,0.30305478355813953,0.6556092137669423
Gls2,P35,MG,331,341,0.0010487438783648845,0.002691211306101758,0.0016424674277368734,0.3021148036253776,0.2932551319648094,0.9865560561660409,0.9865560561660409
Gls2,P35,AC,377,351,0.10584532054780316,0.07094734918455219,-0.03489797136325097,11.671087533156498,9.686609686609685,0.32780460688347113,0.6556092137669423
Gls2,P35,BC,749,789,0.0494418549410692,0.04756016959975645,-0.00188168534131275,9.345794392523365,9.125475285171103,0.8680216765368508,0.9865560561660409
Gls2,P35,HC,110,63,0.056181270732692364,0.030964428899087956,-0.025216841833604408,10,7.936507936507936,0.6445504896672322,0.9668257345008482
Gls2,P35,RPE,24,27,0,0,0,0,0,NA,NA
Gls2,P35,Vasculature cells,24,38,0,0,0,0,0,NA,NA
