age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P35,BC,Dynlt1b,13.87075,2.6794112,9.527521599905215e-44,9.320774381187273e-40,0.36895674300254455,749,0.03700914,7.877169559412556,786,0.21633649,36.89567430025439,up_in_KO
P35,BC,Rps3a1,11.2795925,0.7446034,1.6551028789550714e-29,5.397290488272487e-26,0.8002544529262087,749,1.0382797,73.03070761014735,786,1.4003767,80.02544529262026,up_in_KO
P35,BC,Slc15a2,9.0960455,1.7076705,9.368040578979346e-20,1.5274590164025823e-16,0.26208651399491095,749,0.06298889,8.544726301735654,786,0.19256929,26.208651399491174,up_in_KO
P35,BC,Abhd14b,8.950793,0.8965586,3.529365996019789e-19,4.932541077008799e-16,0.6539440203562341,749,0.32869276,50.46728971962637,786,0.5449092,65.39440203562299,up_in_KO
P35,BC,Dynlt1a,8.645922,1.444673,5.337283948451242e-18,5.851724894303282e-15,0.30025445292620867,749,0.06370612,12.283044058745006,786,0.16471033,30.025445292620894,up_in_KO
P35,BC,Cox6a1,8.598752,0.75053835,8.05874120177649e-18,7.88386651769794e-15,0.7366412213740458,749,0.49592185,60.7476635514022,786,0.7324311,73.66412213740405,up_in_KO
P35,BC,Uba52,8.537253,0.81886446,1.3744941893566898e-17,1.2224251504069543e-14,0.6615776081424937,749,0.34479523,53.27102803738342,786,0.5459497,66.15776081424893,up_in_KO
P35,BC,mt-Nd4l,7.931313,0.4296508,2.168411391170589e-15,1.5152549028444193e-12,0.9122137404580153,749,1.6790535,87.44993324432642,786,1.9276252,91.22137404580077,up_in_KO
P35,BC,E130218I03Rik,7.828966,0.57731986,4.918986167382268e-15,3.2081627783667155e-12,0.8091603053435115,749,1.0176344,73.83177570093507,786,1.2908739,80.91603053435053,up_in_KO
P35,BC,Ide,7.7831025,0.7237049,7.076737488963197e-15,4.326982678407935e-12,0.6997455470737913,749,0.4215338,54.60614152202963,786,0.6237082,69.97455470737866,up_in_KO
P35,BC,Ldha,7.1392956,0.5842723,9.38102580164153e-13,5.398504436321123e-10,0.8307888040712468,749,1.1716454,77.43658210947983,786,1.4677252,83.07888040712403,up_in_KO
P35,BC,Snhg3,6.956304,0.7875109,3.493154139018662e-12,1.8985292745566426e-09,0.48982188295165396,749,0.1850726,33.77837116154873,786,0.3007895,48.98218829516518,up_in_KO
P35,BC,Mif,6.8279467,0.5593086,8.61385213449194e-12,4.111982352215509e-09,0.7913486005089059,749,1.237663,71.56208277703651,786,1.5274937,79.13486005088998,up_in_KO
P35,BC,Gm10076,6.8244433,0.62051344,8.826702381327373e-12,4.111982352215509e-09,0.678117048346056,749,0.41337183,57.94392523364515,786,0.580548,67.81170483460515,up_in_KO
P35,BC,Aldoa,6.63585,0.46290094,3.226375443266277e-11,1.4347104982488176e-08,0.8295165394402035,749,1.7237208,76.76902536715673,786,1.9943726,82.95165394401971,up_in_KO
P35,BC,Ppia,6.6221967,0.47723755,3.538992693630191e-11,1.5053028487732246e-08,0.8078880407124682,749,1.7316003,73.96528704939969,786,2.0112581,80.7888040712462,up_in_KO
P35,BC,Ubb,6.592721,0.43097383,4.31838225504304e-11,1.7602805667119188e-08,0.8206106870229007,749,1.9043399,75.83444592790438,786,2.1638496,82.06106870228945,up_in_KO
P35,BC,Rpl11,6.3648477,0.4018001,1.95483571441727e-10,7.64966311765766e-08,0.7951653944020356,749,1.1258495,74.49933244325817,786,1.3222221,79.51653944020296,up_in_KO
P35,BC,Rpl37a,6.3028264,0.45355013,2.9226597769221923e-10,1.0997069460626849e-07,0.7811704834605598,749,0.8927068,71.42857142857189,786,1.0900128,78.1170483460554,up_in_KO
P35,BC,Selenow,6.141643,0.4097814,8.167220230689878e-10,2.959256130253299e-07,0.8206106870229007,749,1.1704544,76.10146862483363,786,1.3746842,82.06106870228945,up_in_KO
P35,BC,Cox6b1,6.0847316,0.42861974,1.1668677851343977e-09,3.936368117920625e-07,0.767175572519084,749,0.79992276,70.76101468624879,786,0.97428703,76.71755725190783,up_in_KO
P35,BC,Rpl26,6.0411754,0.42144316,1.5299556994584943e-09,4.98918553593415e-07,0.7951653944020356,749,1.050019,73.03070761014735,786,1.2493176,79.51653944020296,up_in_KO
P35,BC,Cox7b,5.9949718,0.44614223,2.035210042961e-09,6.422728983963697e-07,0.7798982188295165,749,0.7566639,70.89452603471341,786,0.9325875,77.98982188295108,up_in_KO
P35,BC,Rpl27a,5.9129252,0.41081733,3.3608521811634844e-09,1.027475527760074e-06,0.7989821882951654,749,1.0284369,73.29773030707658,786,1.2204133,79.89821882951593,up_in_KO
P35,BC,Gapdh,5.878981,0.45256105,4.127992128248482e-09,1.2237620300198455e-06,0.8600508905852418,749,2.3180995,79.17222963951991,786,2.6049209,86.00508905852348,up_in_KO
P35,BC,Rpl39,5.8633165,0.42662567,4.537125446105848e-09,1.3054911246839266e-06,0.7837150127226463,749,0.81017506,71.02803738317802,786,0.98500466,78.37150127226404,up_in_KO
P35,BC,Eno1,5.8526735,0.3709948,4.837333713875362e-09,1.3521038777955047e-06,0.8256997455470738,749,1.3193814,79.57276368491377,786,1.514011,82.56997455470673,up_in_KO
P35,BC,Rplp1,5.835886,0.39284605,5.350545020025958e-09,1.4540106091920542e-06,0.7977099236641222,749,1.1972731,73.4312416555412,786,1.3948568,79.7709923664116,up_in_KO
P35,BC,Gm4211,5.8273168,2.0420644,5.632563488304526e-09,1.4892802325968427e-06,0.10559796437659033,749,0.013809853,3.070761014686247,786,0.05568847,10.55979643765902,up_in_KO
P35,BC,Rpl13,5.8122387,0.41145283,6.164283220642992e-09,1.586978493356589e-06,0.8142493638676844,749,1.4953691,75.30040053404589,786,1.7233363,81.42493638676783,up_in_KO
P35,BC,Fau,5.802398,0.39416686,6.537299420920715e-09,1.6398564162786504e-06,0.7913486005089059,749,1.1664406,73.69826435247045,786,1.3622727,79.13486005088998,up_in_KO
P35,BC,1500011B03Rik,5.7611613,0.52996796,8.353703852499216e-09,2.0431071197249955e-06,0.6806615776081425,749,0.42673275,57.40987983978667,786,0.57013386,68.0661577608138,up_in_KO
P35,BC,Ptma,5.7536826,0.4370324,8.731994665373837e-09,2.083539117350055e-06,0.8346055979643766,749,1.6831199,78.10413885180294,786,1.9362732,83.46055979643701,up_in_KO
P35,BC,Rps9,5.7163825,0.41694555,1.088157745371725e-08,2.4948675841282533e-06,0.7900763358778626,749,0.990289,73.16421895861195,786,1.1814203,79.00763358778566,up_in_KO
P35,BC,Rpl21,5.71507,0.4102055,1.0965890434173043e-08,2.4948675841282533e-06,0.816793893129771,749,1.2025021,75.16688918558128,786,1.4095715,81.67938931297647,up_in_KO
P35,BC,Gm49980,5.6689577,1.5476177,1.4366862859159128e-08,3.1233559855811945e-06,0.15267175572519084,749,0.029800639,6.408544726301739,786,0.084734865,15.267175572519093,up_in_KO
P35,BC,Snhg20,5.6483707,0.3903869,1.619755712503251e-08,3.4447978555259363e-06,0.8180661577608143,749,0.7641285,75.43391188251051,786,0.91772383,81.80661577608079,up_in_KO
P35,BC,Hnrnpa2b1,5.617639,0.28579274,1.935842141383472e-08,3.945488264407189e-06,0.9681933842239185,749,2.0850985,93.99198931909285,786,2.2606049,96.81933842239103,up_in_KO
P35,BC,Sec62,5.607943,0.35863256,2.0474527536489775e-08,4.039453072111038e-06,0.8473282442748091,749,1.2274455,79.97329773030764,786,1.4093579,84.73282442748025,up_in_KO
P35,BC,Hspa8,5.6065054,0.37073725,2.0645267668971878e-08,4.039453072111038e-06,0.8142493638676844,749,1.6727673,75.967957276369,786,1.8862697,81.42493638676783,up_in_KO
P35,BC,Fth1,5.5910134,0.35675126,2.2574788285145873e-08,4.3303755645800405e-06,0.8078880407124682,749,1.2490585,75.30040053404589,786,1.4314529,80.7888040712462,up_in_KO
P35,BC,Rpl37,5.5755258,0.4097384,2.4678331700196266e-08,4.617547003200588e-06,0.7837150127226463,749,0.9348905,72.22963951935961,786,1.1167856,78.37150127226404,up_in_KO
P35,BC,Ndufc2,5.5731606,0.38580728,2.5015842908068196e-08,4.617547003200588e-06,0.7926208651399491,749,1.0412697,72.49666221628885,786,1.2222251,79.26208651399432,up_in_KO
P35,BC,Fgfbp3,5.5261397,0.92680407,3.273531412311158e-08,5.930547741970381e-06,0.29389312977099236,749,0.09435381,18.024032042723594,786,0.17236134,29.389312977099273,up_in_KO
P35,BC,Rpl19,5.5174317,0.3627988,3.439891934547713e-08,6.107334161104899e-06,0.7964376590330788,749,1.2058196,75.56742323097514,786,1.3883914,79.64376590330728,up_in_KO
P35,BC,Rpl10,5.5145884,0.4436526,3.495969672103387e-08,6.107334161104899e-06,0.7938931297709924,749,0.81823295,70.49399198931954,786,1.0015447,79.38931297709864,up_in_KO
P35,BC,Atp5g2,5.5109754,0.39311677,3.568506790497104e-08,6.124684549374241e-06,0.7811704834605598,749,0.8661048,71.02803738317802,786,1.0328789,78.1170483460554,up_in_KO
P35,BC,Mdh1,5.4807982,0.39383283,4.2341098590928605e-08,7.057421840084194e-06,0.8129770992366412,749,1.244848,74.36582109479355,786,1.4465536,81.29770992366349,up_in_KO
P35,BC,Dad1,5.479876,0.48134294,4.256239277981881e-08,7.057421840084194e-06,0.6666666666666666,749,0.3762709,56.07476635514046,786,0.4933359,66.66666666666623,up_in_KO
P35,BC,Rps17,5.4411664,0.38287637,5.293281578991965e-08,8.608170638703876e-06,0.7798982188295165,749,0.8865225,72.09612817089499,786,1.050925,77.98982188295108,up_in_KO
P35,BC,Cox6c,5.4386873,0.3691192,5.367457926616952e-08,8.608170638703876e-06,0.816793893129771,749,1.1290971,75.43391188251051,786,1.3091612,81.67938931297647,up_in_KO
