age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P15,Endothelial,Wdfy1,3.8507798,2.805794,0.00011774234847378192,0.9084049351503011,0.5517241379310345,29,0.06064373,6.896551724137931,29,0.3626751,55.17241379310346,not_significant
P15,Endothelial,Elovl4,3.0803516,5.2423053,0.002067563784886202,0.9084049351503011,0.3448275862068966,29,0.010853485,3.4482758620689653,29,0.34576166,34.482758620689665,not_significant
P15,Endothelial,Apex1,3.0090585,27.275791,0.0026205859990837653,0.9084049351503011,0.27586206896551724,29,0.0,0.0,29,0.15056573,27.58620689655173,not_significant
P15,Endothelial,Pitpnm3,3.0090585,28.331766,0.0026205859990837653,0.9084049351503011,0.27586206896551724,29,0.0,0.0,29,0.2910565,27.58620689655173,not_significant
P15,Endothelial,Bap1,2.9666855,3.8738875,0.00301028744096708,0.9084049351503011,0.3448275862068966,29,0.019296357,3.4482758620689653,29,0.25126156,34.482758620689665,not_significant
P15,Endothelial,Tmub2,2.9666855,3.3734663,0.00301028744096708,0.9084049351503011,0.3448275862068966,29,0.019477632,3.4482758620689653,29,0.18551557,34.482758620689665,not_significant
P15,Endothelial,Ppig,2.955621,1.454997,0.0031204024524068333,0.9084049351503011,0.7586206896551724,29,0.45334056,51.7241379310345,29,0.94485825,75.86206896551722,not_significant
P15,Endothelial,Cdyl2,2.9393203,3.498984,0.0032893297214895765,0.9084049351503011,0.41379310344827586,29,0.03485843,10.344827586206897,29,0.33722192,41.379310344827594,not_significant
P15,Endothelial,Phc2,2.9297712,1.5326604,0.0033921167782055973,0.9084049351503011,0.7931034482758621,29,0.40453398,51.7241379310345,29,0.8930447,79.31034482758619,not_significant
P15,Endothelial,Shprh,2.8530202,2.1870341,0.004330586086881058,0.9084049351503011,0.4482758620689655,29,0.0678683,10.344827586206897,29,0.27746466,44.82758620689656,not_significant
P15,Endothelial,Fam114a2,2.852314,2.1900256,0.004340220127419353,0.9084049351503011,0.5517241379310345,29,0.12369359,20.689655172413797,29,0.47051838,55.17241379310346,not_significant
