age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P35,Cones,Crem,-1.2258373,-0.4025673,0.22025988822713638,0.5891274482236849,0.34146341463414637,233,0.26850018,38.62660944206003,205,0.20945534,34.14634146341465,not_significant
P35,Cones,9230116N13Rik,-1.2259673,-0.43708754,0.2202109913450484,0.5891274482236849,0.1024390243902439,233,0.075483054,14.163090128755373,205,0.056296956,10.243902439024392,not_significant
P35,Cones,Gm35721,-1.2264892,-0.243574,0.22001465441772894,0.5888851555202744,0.40487804878048783,233,0.30685794,47.639484978540665,205,0.26494113,40.487804878048806,not_significant
P35,Cones,Supt3,-1.2278154,-0.5256927,0.21951625548829756,0.5880581401290121,0.3902439024390244,233,0.41303,43.77682403433468,205,0.30396742,39.02439024390246,not_significant
P35,Cones,Pcgf1,-1.2278881,-0.3116226,0.21948896403199736,0.5880581401290121,0.25365853658536586,233,0.17352167,31.330472103004276,205,0.14208607,25.365853658536597,not_significant
P35,Cones,Rad51d,-1.2283932,-0.6622254,0.2192994200024957,0.5878187574005064,0.11219512195121951,233,0.092753306,15.02145922746782,205,0.05960317,11.219512195121954,not_significant
P35,Cones,Pign,-1.228611,-0.3061076,0.21921768232903283,0.5877694910307623,0.424390243902439,233,0.38730404,47.639484978540665,205,0.32394838,42.43902439024393,not_significant
P35,Cones,Rcbtb2,-1.2290375,-0.29571903,0.21905774675399114,0.5875104702621496,0.08780487804878048,233,0.06857817,12.875536480686703,205,0.056218266,8.78048780487805,not_significant
P35,Cones,Usp31,-1.2296891,-0.39918685,0.21881353049798524,0.587025194456278,0.2048780487804878,233,0.146341,25.321888412017184,205,0.11288112,20.48780487804879,not_significant
P35,Cones,Tmem14c,-1.230007,-0.3165052,0.21869444794709147,0.5868754392841098,0.2926829268292683,233,0.20640422,36.051502145922704,205,0.16897517,29.268292682926845,not_significant
P35,Cones,Neurl1a,-1.2303203,-0.5004724,0.2185771712144634,0.5867304448369726,0.34146341463414637,233,0.3425461,38.19742489270381,205,0.25369546,34.14634146341465,not_significant
P35,Cones,Adam10,-1.231452,-0.352641,0.21815386990646102,0.5861029397979262,0.4585365853658537,233,0.38806856,51.072961373390434,205,0.3157703,45.85365853658539,not_significant
P35,Cones,Dnajc18,-1.2315553,-0.24135351,0.21811521162520153,0.5861029397979262,0.5560975609756098,233,0.5006694,60.944206008583514,205,0.4380746,55.60975609756101,not_significant
P35,Cones,Gfod2,-1.2320616,-0.94171065,0.21792606706620188,0.5860000359922188,0.07804878048780488,233,0.068341166,11.15879828326181,205,0.036161605,7.804878048780488,not_significant
P35,Cones,Lrguk,-1.2328422,-0.22684596,0.21763465515673397,0.5855558862787184,0.25365853658536586,233,0.21586776,30.472103004291835,205,0.18721129,25.365853658536597,not_significant
P35,Cones,Map7d2,-1.2331446,-0.28835338,0.2175218250674017,0.5854220978097724,0.3463414634146341,233,0.3319562,39.05579399141625,205,0.27942494,34.634146341463435,not_significant
P35,Cones,Fbxo21,-1.233623,-0.26464584,0.2173434081366591,0.5851534370030053,0.2731707317073171,233,0.20496412,34.33476394849782,205,0.1734119,27.31707317073172,not_significant
P35,Cones,B4galt7,-1.2337728,-0.33411378,0.21728760879414133,0.5851534370030053,0.13658536585365855,233,0.09867288,18.45493562231761,205,0.079057306,13.658536585365857,not_significant
P35,Cones,Med13,-1.233788,-0.1570337,0.21728188735743337,0.5851534370030053,0.8390243902439024,233,1.0357691,82.40343347639455,205,0.96692735,83.9024390243903,not_significant
P35,Cones,Zfp319,-1.2344718,-0.25943145,0.21702714158072323,0.5851534370030053,0.07804878048780488,233,0.058755018,11.587982832618032,205,0.04931916,7.804878048780488,not_significant
