gene,age,condition,sample,age_condition,celltype,n_cells,pct_detected,avg_lognorm_expr,median_lognorm_expr,avg_raw_count
Gls2,P15,KO,15dayS2,P15_KO,Endothelial,29,0.0,0.0,0.0,0.0
Gls2,P15,Ctrl,15dayS1,P15_Ctrl,Microglia,15,0.0,0.0,0.0,0.0
Gls2,P15,KO,15dayS2,P15_KO,Microglia,11,0.0,0.0,0.0,0.0
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,Cones,233,0.0,0.0,0.0,0.0
Gls2,P35,KO,35dayS2,P35_KO,Cones,205,0.975609756097561,0.006716000236175241,0.0,0.00975609756097561
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,Rod,6389,0.15651901706057286,0.0018048087375973178,0.0,0.0018782282047268744
Gls2,P35,KO,35dayS2,P35_KO,Rod,6313,0.2534452716616506,0.0026022894857283038,0.0,0.002692856011405037
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,BC,749,9.345794392523365,0.049441854941069216,0.0,0.1295060080106809
Gls2,P35,KO,35dayS2,P35_KO,BC,786,9.16030534351145,0.04774169696464108,0.0,0.1183206106870229
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,AC,464,11.206896551724139,0.09120225292954105,0.0,0.1400862068965517
Gls2,P35,KO,35dayS2,P35_KO,AC,382,9.68586387434555,0.061295634940545934,0.0,0.10732984293193717
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,RGC,8,25.0,0.2579403927509262,0.0,0.25
Gls2,P35,KO,35dayS2,P35_KO,RGC,15,13.333333333333334,0.22922306914212015,0.0,0.2
Gls2,P35,KO,35dayS2,P35_KO,HC,6,0.0,0.0,0.0,0.0
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,MG,295,0.6779661016949152,0.006947089320482302,0.0,0.006779661016949152
Gls2,P35,KO,35dayS2,P35_KO,MG,317,0.0,0.0,0.0,0.0
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,MG_AC,13,0.0,0.0,0.0,0.0
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,Endothelial,24,0.0,0.0,0.0,0.0
Gls2,P35,KO,35dayS2,P35_KO,Endothelial,31,0.0,0.0,0.0,0.0
Gls2,P35,Ctrl,35dayS1,P35_Ctrl,Microglia,4,0.0,0.0,0.0,0.0
Gls2,P35,KO,35dayS2,P35_KO,Microglia,11,0.0,0.0,0.0,0.0
