gene,age,celltype,ctrl_n,ko_n,ctrl_avg_lognorm_expr,ko_avg_lognorm_expr,difference_ko_minus_ctrl,ctrl_pct_detected,ko_pct_detected,p_value,p_adj_bh_within_age_gene
Gls,P15,AC,387,303,0.8880704312210334,0.6646708030148655,-0.22339962820616788,83.97932816537468,64.35643564356435,6.846684428854371e-07,3.0810079929844666e-06
Gls,P15,BC,652,598,1.8156630652492258,1.7616721359528473,-0.0539909292963785,97.69938650306749,96.15384615384616,0.17011355626906866,0.255170334403603
Gls,P15,Cones,242,169,1.4368446777092385,0.2840512830988284,-1.15279339461041,93.38842975206612,37.8698224852071,1.2094969655137934e-49,1.0885472689624141e-48
Gls,P15,Endothelial,29,29,0.5094726429494105,0.32535724389489196,-0.18411539905451857,58.620689655172406,41.37931034482759,0.15764454517072246,0.255170334403603
Gls,P15,HC,1,5,0.9945222309400225,1.0995959510257163,0.10507372008569382,100.0,100.0,1.0,1.0
Gls,P15,MG,239,215,0.3440468989647626,0.2877328188723787,-0.05631408009238387,47.28033472803347,34.883720930232556,0.043811769756681176,0.09857648195253264
Gls,P15,Microglia,15,11,0.6309549554235362,0.5635275271180231,-0.06742742830551307,73.33333333333333,54.54545454545454,0.6333719748009181,0.7125434716510328
Gls,P15,RGC,3,6,1.0038610122183202,0.4418572822447626,-0.5620037299735576,100.0,33.33333333333333,0.22491588401596185,0.28917756516337956
Gls,P15,Rod,4510,3436,1.0336224946673682,0.9741277604970453,-0.059494734170322916,59.33481152993348,56.54831199068685,0.0032535082091897805,0.009760524627569342
Gls,P35,AC,464,382,0.9881986660295538,0.8446498516728232,-0.1435488143567305,73.70689655172413,68.58638743455498,0.0021414580434159468,0.0057105547824425245
Gls,P35,BC,749,786,2.2729342497193685,2.2730444656502735,0.00011021593090498882,99.06542056074767,98.21882951653944,0.7165711160914865,0.7165711160914865
Gls,P35,Cones,233,205,1.7646195698225804,0.15800671483303602,-1.6066128549895444,93.99141630901288,19.024390243902438,2.339720825695647e-65,1.8717766605565175e-64
Gls,P35,Endothelial,24,31,0.7745596916252474,0.6144667070470511,-0.16009298457819632,66.66666666666666,58.06451612903226,0.5238617106383936,0.6532556596390183
Gls,P35,MG,295,317,0.3966923766444502,0.3538543453321748,-0.04283803131227537,51.186440677966104,44.479495268138805,0.13620760964951784,0.21793217543922855
Gls,P35,Microglia,4,11,1.123157888648458,0.6113510165529463,-0.5118068720955116,75.0,81.81818181818183,0.13185913629223972,0.21793217543922855
Gls,P35,RGC,8,15,1.0866448249463718,0.8473405621821877,-0.23930426276418415,75.0,53.333333333333336,0.571598702184141,0.6532556596390183
Gls,P35,Rod,6389,6313,1.2301498746907782,1.0791799097426946,-0.15096996494808357,72.62482391610581,66.26009821004277,3.7405701104458003e-22,1.4962280441783201e-21
Gls2,P15,AC,387,303,0.061096697866022544,0.042399803868734195,-0.01869689399728835,10.852713178294573,6.270627062706271,0.0383504084640858,0.1534016338563432
Gls2,P15,BC,652,598,0.013387950834280717,0.012628616437435711,-0.0007593343968450052,2.147239263803681,2.0066889632107023,0.8662228616853008,0.9019931840917688
Gls2,P15,Cones,242,169,0.0,0.0,0.0,0.0,0.0,,
Gls2,P15,Endothelial,29,29,0.0,0.0,0.0,0.0,0.0,,
Gls2,P15,HC,1,5,0.0,0.0,0.0,0.0,0.0,,
Gls2,P15,MG,239,215,0.006282347006851182,0.0085265031778435,0.002244156170992318,1.2552301255230125,1.3953488372093024,0.9019931840917688,0.9019931840917688
Gls2,P15,Microglia,15,11,0.0,0.0,0.0,0.0,0.0,,
Gls2,P15,RGC,3,6,0.0,0.0,0.0,0.0,0.0,,
Gls2,P15,Rod,4510,3436,0.0017605633265589799,0.002740933427434695,0.000980370100875715,0.15521064301552107,0.17462165308498254,0.8304423055453443,0.9019931840917688
Gls2,P35,AC,464,382,0.09120225292954104,0.061295634940545934,-0.029906617988995104,11.206896551724139,9.68586387434555,0.40919015837360573,0.6137852375604086
Gls2,P35,BC,749,786,0.049441854941069216,0.04774169696464108,-0.0017001579764281335,9.345794392523365,9.16030534351145,0.8867328678078334,0.8867328678078334
Gls2,P35,Cones,233,205,0.0,0.006716000236175241,0.006716000236175241,0.0,0.975609756097561,0.13201872541041165,0.42885786233250955
Gls2,P35,Endothelial,24,31,0.0,0.0,0.0,0.0,0.0,,
Gls2,P35,MG,295,317,0.006947089320482302,0.0,-0.006947089320482302,0.6779661016949152,0.0,0.14295262077750318,0.42885786233250955
Gls2,P35,Microglia,4,11,0.0,0.0,0.0,0.0,0.0,,
Gls2,P35,RGC,8,15,0.2579403927509262,0.22922306914212015,-0.028717323608806022,25.0,13.333333333333334,0.6602793884629348,0.7923352661555217
Gls2,P35,Rod,6389,6313,0.0018048087375973178,0.0026022894857283038,0.0007974807481309859,0.15651901706057286,0.2534452716616506,0.22716055169389293,0.45432110338778586
