cell,sample,age,condition,age_condition,celltype,umap_1,umap_2,gene,raw_count,detected,lognorm_expr
cell_52,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.532307,10.809864,Gls,1.0,True,1.910586757859019
cell_53,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.8037195,11.698755,Gls,3.0,True,2.7260290610362667
cell_54,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.0255246,-6.123652,Gls,0.0,False,0.0
cell_55,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.205261,9.913728,Gls,0.0,False,0.0
cell_56,15dayS1,P15,Ctrl,P15_Ctrl,AC,-1.068512,-0.10282783,Gls,4.0,True,1.3504560555528058
cell_57,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.144356,8.111342,Gls,1.0,True,1.8211020514472858
cell_58,15dayS1,P15,Ctrl,P15_Ctrl,RGC,3.4414253,16.1097,Gls,2.0,True,0.7412701154721332
cell_59,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.198733,11.019853,Gls,1.0,True,1.91649626384902
cell_60,15dayS1,P15,Ctrl,P15_Ctrl,AC,-2.6271029,0.96203053,Gls,7.0,True,1.7361950253380956
cell_61,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.603241,11.865859,Gls,1.0,True,1.8594265601182582
cell_62,15dayS1,P15,Ctrl,P15_Ctrl,Rod,19.186068,10.242997,Gls,0.0,False,0.0
cell_63,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.49681,7.984426,Gls,1.0,True,1.4722624777214541
cell_64,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.080263,9.680595,Gls,0.0,False,0.0
cell_65,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.605895,11.478672,Gls,0.0,False,0.0
cell_66,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.45849,10.108829,Gls,1.0,True,1.4559118319795372
cell_67,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.552843,9.569567,Gls,1.0,True,1.3872701540289933
cell_68,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.464905,9.712826,Gls,0.0,False,0.0
cell_69,15dayS1,P15,Ctrl,P15_Ctrl,BC,14.7860565,-3.726267,Gls,2.0,True,2.4804724581610706
cell_70,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.1720614,-6.3339047,Gls,0.0,False,0.0
cell_71,15dayS1,P15,Ctrl,P15_Ctrl,Cones,18.955122,-5.5841937,Gls,6.0,True,1.6600451842554256
cell_72,15dayS1,P15,Ctrl,P15_Ctrl,MG,0.49106345,12.04966,Gls,0.0,False,0.0
cell_73,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.18087,8.561544,Gls,3.0,True,2.597305305560588
cell_74,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.10558,7.233678,Gls,1.0,True,1.992401377356631
cell_75,15dayS1,P15,Ctrl,P15_Ctrl,AC,-5.6560535,-3.1184788,Gls,3.0,True,1.6003271973677018
cell_76,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.81373,7.722974,Gls,0.0,False,0.0
cell_77,15dayS1,P15,Ctrl,P15_Ctrl,Rod,13.988091,13.56644,Gls,0.0,False,0.0
cell_78,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.967447,12.17183,Gls,3.0,True,1.980462867278692
cell_79,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.666779,6.5422955,Gls,2.0,True,1.5251491178977494
cell_80,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.0894837,-6.4191656,Gls,1.0,True,0.7347456989387628
cell_81,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.901272,11.36486,Gls,3.0,True,2.3687161156020746
