object,gene,age,ctrl_n,ko_n,ctrl_avg_lognorm_expr,ko_avg_lognorm_expr,difference_ko_minus_ctrl,ctrl_pct_detected,ko_pct_detected,p_value,p_adj_bh
all_initial_cones,Gls,P15,243,176,1.4309317366487067,0.3180564909336188,-1.112875245715088,93.00411522633745,39.77272727272727,8.134751259033947e-48,8.134751259033947e-48
all_initial_cones,Gls,P35,244,211,1.7405393157890372,0.20067041177411254,-1.5398689040149247,93.44262295081968,21.32701421800948,1.647461366370172e-63,3.294922732740344e-63
all_initial_cones,Gls2,P15,243,176,0,0,0,0,0,NA,NA
all_initial_cones,Gls2,P35,244,211,0,0.006525023926141812,0.006525023926141812,0,0.9478672985781991,0.12867638811185403,0.12867638811185403
reclustered_cones,Gls,P15,243,169,1.4309317366487067,0.28405128309882843,-1.1468804535498782,93.00411522633745,37.8698224852071,3.537276040820929e-49,3.537276040820929e-49
reclustered_cones,Gls,P35,233,204,1.7646195698225804,0.15197538479134387,-1.6126441850312365,93.99141630901288,18.627450980392158,2.247390228811863e-65,4.494780457623726e-65
reclustered_cones,Gls2,P15,243,169,0,0,0,0,0,NA,NA
reclustered_cones,Gls2,P35,233,204,0,0.006748921805960411,0.006748921805960411,0,0.9803921568627451,0.1310740892454905,0.1310740892454905
